lemma,poscode,surface
KAG Augsburg,3,KAG Augsburg
KAG Essen,3,KAG Essen
KAG Freiburg,3,KAG Freiburg
KAG Fulda,3,KAG Fulda
KAG Hamburg,3,KAG Hamburg
KAG Köln,3,KAG Köln
KAG Mainz,3,KAG Mainz
KAG Münster,3,KAG Münster
KAG Paderborn,3,KAG Paderborn
KAG Rottenburg-Stuttgart,3,KAG Rottenburg-Stuttgart
Kammergericht,3,Kammergericht ,Kammergerichts ,Kammergerichtes
Kirchengericht,3,Kirchengericht
Kirchengerichtshof,3,Kirchengerichtshof
Stadtbezirksgericht Berlin-Mitte,3,Stadtbezirksgericht Berlin-Mitte,Stadtbezirksgerichts Berlin-Mitte,Stadtbezirksgerichtes Berlin-Mitte
Stadtgericht Berlin,3,Stadtgericht Berlin,Stadtgerichtes Berlin, Stadtgerichts Berlin
Kammergericht Berlin,3,Kammergericht Berlin,Kammergerichts Berlin,Kammergerichtes Berlin,KG Berlin
AG Aachen,3,AG Aachen,Amtsgericht Aachen,Amtsgerichts Aachen,Amtsgerichtes Aachen
AG Aalen,3,AG Aalen,Amtsgericht Aalen,Amtsgerichts Aalen,Amtsgerichtes Aalen
AG Achern,3,AG Achern,Amtsgericht Achern,Amtsgerichts Achern,Amtsgerichtes Achern
AG Achim,3,AG Achim,Amtsgericht Achim,Amtsgerichts Achim,Amtsgerichtes Achim
AG Adelsheim,3,AG Adelsheim,Amtsgericht Adelsheim,Amtsgerichts Adelsheim,Amtsgerichtes Adelsheim
AG Adenau,3,AG Adenau,Amtsgericht Adenau,Amtsgerichts Adenau,Amtsgerichtes Adenau
AG Ahaus,3,AG Ahaus,Amtsgericht Ahaus,Amtsgerichts Ahaus,Amtsgerichtes Ahaus
AG Ahlen,3,AG Ahlen,Amtsgericht Ahlen,Amtsgerichts Ahlen,Amtsgerichtes Ahlen
AG Ahrensburg,3,AG Ahrensburg,Amtsgericht Ahrensburg,Amtsgerichts Ahrensburg,Amtsgerichtes Ahrensburg
AG Aichach,3,AG Aichach,Amtsgericht Aichach,Amtsgerichts Aichach,Amtsgerichtes Aichach
AG Albstadt,3,AG Albstadt,Amtsgericht Albstadt,Amtsgerichts Albstadt,Amtsgerichtes Albstadt
AG Alfeld,3,AG Alfeld,Amtsgericht Alfeld,Amtsgerichts Alfeld,Amtsgerichtes Alfeld
AG Alsfeld,3,AG Alsfeld,Amtsgericht Alsfeld,Amtsgerichts Alsfeld,Amtsgerichtes Alsfeld
AG Altena,3,AG Altena,Amtsgericht Altena,Amtsgerichts Altena,Amtsgerichtes Altena
AG Altenburg,3,AG Altenburg,Amtsgericht Altenburg,Amtsgerichts Altenburg,Amtsgerichtes Altenburg
AG Altenkirchen,3,AG Altenkirchen,Amtsgericht Altenkirchen,Amtsgerichts Altenkirchen,Amtsgerichtes Altenkirchen
AG Altentreptow,3,AG Altentreptow,Amtsgericht Altentreptow,Amtsgerichts Altentreptow,Amtsgerichtes Altentreptow
AG Altötting,3,AG Altötting,Amtsgericht Altötting,Amtsgerichts Altötting,Amtsgerichtes Altötting
AG Alzenau,3,AG Alzenau,Amtsgericht Alzenau,Amtsgerichts Alzenau,Amtsgerichtes Alzenau
AG Alzey,3,AG Alzey,Amtsgericht Alzey,Amtsgerichts Alzey,Amtsgerichtes Alzey
AG Amberg,3,AG Amberg,Amtsgericht Amberg,Amtsgerichts Amberg,Amtsgerichtes Amberg
AG Andernach,3,AG Andernach,Amtsgericht Andernach,Amtsgerichts Andernach,Amtsgerichtes Andernach
AG Anklam,3,AG Anklam,Amtsgericht Anklam,Amtsgerichts Anklam,Amtsgerichtes Anklam
AG Annaberg,3,AG Annaberg,Amtsgericht Annaberg,Amtsgerichts Annaberg,Amtsgerichtes Annaberg
AG Ansbach,3,AG Ansbach,Amtsgericht Ansbach,Amtsgerichts Ansbach,Amtsgerichtes Ansbach
AG Apolda,3,AG Apolda,Amtsgericht Apolda,Amtsgerichts Apolda,Amtsgerichtes Apolda
AG Arnsberg,3,AG Arnsberg,Amtsgericht Arnsberg,Amtsgerichts Arnsberg,Amtsgerichtes Arnsberg
AG Arnstadt,3,AG Arnstadt,Amtsgericht Arnstadt,Amtsgerichts Arnstadt,Amtsgerichtes Arnstadt
AG Arnstein,3,AG Arnstein,Amtsgericht Arnstein,Amtsgerichts Arnstein,Amtsgerichtes Arnstein
AG Arolsen,3,AG Arolsen,Amtsgericht Arolsen,Amtsgerichts Arolsen,Amtsgerichtes Arolsen
AG Artern,3,AG Artern,Amtsgericht Artern,Amtsgerichts Artern,Amtsgerichtes Artern
AG Aschaffenburg,3,AG Aschaffenburg,Amtsgericht Aschaffenburg,Amtsgerichts Aschaffenburg,Amtsgerichtes Aschaffenburg
AG Aschersleben,3,AG Aschersleben,Amtsgericht Aschersleben,Amtsgerichts Aschersleben,Amtsgerichtes Aschersleben
AG Aue,3,AG Aue,Amtsgericht Aue,Amtsgerichts Aue,Amtsgerichtes Aue
AG Auerbach,3,AG Auerbach,Amtsgericht Auerbach,Amtsgerichts Auerbach,Amtsgerichtes Auerbach
AG Augsburg,3,AG Augsburg,Amtsgericht Augsburg,Amtsgerichts Augsburg,Amtsgerichtes Augsburg
AG Aurich,3,AG Aurich,Amtsgericht Aurich,Amtsgerichts Aurich,Amtsgerichtes Aurich
AG Backnang,3,AG Backnang,Amtsgericht Backnang,Amtsgerichts Backnang,Amtsgerichtes Backnang
AG Bad Arolsen,3,AG Bad Arolsen,Amtsgericht Bad Arolsen,Amtsgerichts Bad Arolsen,Amtsgerichtes Bad Arolsen
AG Bad Bergzabern,3,AG Bad Bergzabern,Amtsgericht Bad Bergzabern,Amtsgerichts Bad Bergzabern,Amtsgerichtes Bad Bergzabern
AG Bad Berleburg,3,AG Bad Berleburg,Amtsgericht Bad Berleburg,Amtsgerichts Bad Berleburg,Amtsgerichtes Bad Berleburg
AG Bad Bramstedt,3,AG Bad Bramstedt,Amtsgericht Bad Bramstedt,Amtsgerichts Bad Bramstedt,Amtsgerichtes Bad Bramstedt
AG Bad Doberan,3,AG Bad Doberan,Amtsgericht Bad Doberan,Amtsgerichts Bad Doberan,Amtsgerichtes Bad Doberan
AG Bad Dürkheim,3,AG Bad Dürkheim,Amtsgericht Bad Dürkheim,Amtsgerichts Bad Dürkheim,Amtsgerichtes Bad Dürkheim
AG Bad Freienwalde,3,AG Bad Freienwalde,Amtsgericht Bad Freienwalde,Amtsgerichts Bad Freienwalde,Amtsgerichtes Bad Freienwalde
AG Bad Gandersheim,3,AG Bad Gandersheim,Amtsgericht Bad Gandersheim,Amtsgerichts Bad Gandersheim,Amtsgerichtes Bad Gandersheim
AG Bad Harzburg,3,AG Bad Harzburg,Amtsgericht Bad Harzburg,Amtsgerichts Bad Harzburg,Amtsgerichtes Bad Harzburg
AG Bad Hersfeld,3,AG Bad Hersfeld,Amtsgericht Bad Hersfeld,Amtsgerichts Bad Hersfeld,Amtsgerichtes Bad Hersfeld
AG Bad Homburg,3,AG Bad Homburg,Amtsgericht Bad Homburg,Amtsgerichts Bad Homburg,Amtsgerichtes Bad Homburg
AG Bad Iburg,3,AG Bad Iburg,Amtsgericht Bad Iburg,Amtsgerichts Bad Iburg,Amtsgerichtes Bad Iburg
AG Bad Kissingen,3,AG Bad Kissingen,Amtsgericht Bad Kissingen,Amtsgerichts Bad Kissingen,Amtsgerichtes Bad Kissingen
AG Bad Kreuznach,3,AG Bad Kreuznach,Amtsgericht Bad Kreuznach,Amtsgerichts Bad Kreuznach,Amtsgerichtes Bad Kreuznach
AG Bad Langensalza,3,AG Bad Langensalza,Amtsgericht Bad Langensalza,Amtsgerichts Bad Langensalza,Amtsgerichtes Bad Langensalza
AG Bad Liebenwerda,3,AG Bad Liebenwerda,Amtsgericht Bad Liebenwerda,Amtsgerichts Bad Liebenwerda,Amtsgerichtes Bad Liebenwerda
AG Bad Lobenstein,3,AG Bad Lobenstein,Amtsgericht Bad Lobenstein,Amtsgerichts Bad Lobenstein,Amtsgerichtes Bad Lobenstein
