lemma,poscode,surface
Achilles,3,
Ahlt,3,
Albert,3,
Alff,3,
Allgayer,3,
Ambrosius,3,
Ankermann,3,
Appl,3,
Arend,3,
Arndt,3,
Artl,3,
Ascher,3,
Asendorf,3,
Athing,3,
Augustin,3,
Bacher,3,
Baldus,3,
Ball,3,
Ballhaus,3,
Bär,3,
Bartel,3,
Basdorf,3,
Bauer,3,
Baumgarten,3,
Bauner,3,
Becker,3,
Bellay,3,
Bender,3,
Bendler,3,
Benkard,3,
Berg,3,
Berger,3,
Bergmann,3,
Beyer,3,
Birkmann,3,
Birnbach,3,
Bischoff,3,
Blauth,3,
Bliesener,3,
Blumenröhr,3,
Bock,3,
Bode,3,
Boetticher,3,
Bökelmann,3,
Börker,3,
Born,3,
Bornkamm,3,
Borris,3,
Börtzler,3,
Botur,3,
Boujong,3,
Brandes,3,
Brause,3,
Braxmeier,3,
Brockmöller,3,
Brodeßer,3,
Broß,3,
Bruchhausen,3,
Brückner,3,
Brüning,3,
Brunotte,3,
Buchholz,3,
Buddenberg,3,
Bukow,3,
Bundschuh,3,
Bünger,3,
Bungeroth,3,
Busch,3,
Büscher,3,
Bußmann,3,
Caliebe,3,
Canter,3,
Chabestari,3,
Christoph,3,
Cierniak,3,
Cirener,3,
Claßen,3,
Czub,3,
Dauber,3,
Dehner,3,
Deichfuß,3,
Deinhardt,3,
Delbrück,3,
Deppert,3,
Derstadt,3,
Detter,3,
Diederichsen,3,
Doerry,3,
Dölp,3,
Dörr,3,
Dorschel,3,
Dose,3,
Dotterweich,3,
Drescher,3,
Dressler,3,
Drost,3,
Dunz,3,
Dürig,3,
Ebel,3,
Eckstein,3,
Eick,3,
Elf,3,
Ellenberger,3,
Engelhardt,3,
Engels,3,
Erbel,3,
Erdmann,3,
Ernemann,3,
Eschelbach,3,
Faller,3,
Feddersen,3,
Feilcke,3,
Felsch,3,
Fetzer,3,
Finke,3,
Fischer,3,
Fleck,3,
Fleischmann,3,
Flitner,3,
Foth,3,
Franke,3,
Freitag,3,
Frellesen,3,
Fuchs,3,
Fuhrmann,3,
Gähtgens,3,
Gaier,3,
Galke,3,
Gamm,3,
Ganter,3,
Gärtner,3,
Gehrlein,3,
Geier,3,
Geiger,3,
Geiß,3,
Gelder,3,
Gelhaar,3,
Gerber,3,
Gerhardt,3,
Gericke,3,
