verdict25235	  Die Revision des Angeklagten gegen das Urteil des Landgerichts Hildesheim vom 18-9-2002 wird als unbegründet verworfen, da die Nachprüfung des Urteils auf Grund der Revisionsrechtfertigung keinen Rechtsfehler zum Nachteil des Angeklagten ergeben hat (§ 349 Abs_ 2 StPO).	revisionsMisserfolg
verdict47021	 Die Rechtsbeschwerde gegen den Beschluss des 27_ Senats (Marken-Beschwerdesenats) des Bundespatentgerichts vom 7-3-2006 wird auf Kosten der Anmelderin zurückgewiesen.	revisionsMisserfolg
verdict31912	 Die Anhörungsrüge des Antragsgegners gegen den Senatsbeschluß vom 6-10-2004 wird zurückgewiesen.	revisionsMisserfolg
verdict40871	  Die Revision des Angeklagten gegen das Urteil des Landgerichts Trier vom 5-2-2007 wird als unbegründet verworfen, da die Nachprüfung des Urteils auf Grund der Revisionsrechtfertigung keinen Rechtsfehler zum Nachteil des Angeklagten ergeben hat.	revisionsMisserfolg
verdict53709	 Die Revision gegen das Urteil des 3_ Zivilsenats des Oberlandesgerichts Stuttgart vom 30-9-2009 wird insoweit zurückgewiesen, als die Beklagte zur Zahlung von 4143,07 € nebst Zinsen verurteilt worden ist.	revisionsMisserfolg
verdict63994	 Der Antrag auf Bestimmung des zuständigen Gerichts gemäß §§ 13a, 14 StPO wird zurückgewiesen.	irrelevant
verdict46177	 Die Hauptsache ist erledigt.	irrelevant
verdict26561	 Die Revision des Beklagten gegen das Teilurteil des 6_ Zivilsenats des Oberlandesgerichts München vom 23-12-1999 wird zurückgewiesen, soweit sie sich dagegen wendet, daß die Verurteilung des Beklagten hinsichtlich der Aussage 1 Satz 2 sowie der Aussagen 4, 5 und 16 bestätigt worden ist (Ziffer IV und V des Tenors des Berufungsurteils i.	revisionsMisserfolg
verdict64837	 Auf die Revision der Beklagten wird das Urteil des 10_ Zivilsenats des Oberlandesgerichts Frankfurt am Main vom 22-10-2010 im Kostenpunkt und insoweit aufgehoben, als zum Nachteil der Beklagten erkannt worden ist.	revisionsErfolg
verdict72471	 Auf die Revision der Beklagten wird das Urteil des 4_ Zivilsenats des Oberlandesgerichts Köln vom 10-6-2014 im Kostenpunkt und insoweit aufgehoben, als die Berufung der Beklagten gegen ihre Verurteilung zur Zahlung von Zinsen in Höhe von fünf Prozentpunkten über dem Basiszinssatz aus 26714,10 € seit dem 20-6-2009 zurückgewiesen worden ist.	revisionsMisserfolg
verdict59498	 Der Antrag der Beklagten auf Bewilligung von Prozesskostenhilfe wird zurückgewiesen.	irrelevant
verdict74652	 Auf die Rechtsbeschwerde des Betroffenen wird der Beschluss der 4_ Zivilkammer des Landgerichts Bayreuth vom 29-7-2015 im Kostenpunkt und insoweit aufgehoben, als der Feststellungsantrag des Betroffenen zurückgewiesen worden ist.	revisionsErfolg
verdict48369	 Die Revision der Klägerin gegen das Urteil des 6_ Zivilsenats des Oberlandesgerichts Köln vom 13-10-2006 wird als unzulässig verworfen, soweit mit ihr die Klageanträge im Hinblick auf Ansprüche aus ergänzendem wettbewerbsrechtlichem Leistungsschutz weiterverfolgt werden, und im Übrigen zurückgewiesen.	revisionsMisserfolg
