OLG,BGH Karlsruhe,BGH Leipzig 5. Strafsenat
OLG Karlsruhe,2,514
OLG Stuttgart,85,464
OLG Zweibrücken,105,546
OLG Saarbrücken,141,558
OLG Frankfurt,145,381
OLG Koblenz,209,442
OLG Nürnberg,252,277
OLG Bamberg,279,241
OLG München,284,463
OLG Köln,301,487
OLG Düsseldorf,339,473
OLG Hamm,406,391
OLG Jena,419,97
OLG Naumburg,445,58
OLG Braunschweig,466,207
OLG Celle,509,253
OLG Dresden,548,121
OLG Oldenburg,560,411
OLG Bremen,575,365
OLG Brandenburg,624,148
OLG Hamburg,626,397
Kammergericht,668,180
OLG Schleswig,748,500
OLG Rostock,797,375
